id	generation	major_rev	owned_by_id	name	item_number	classification	description
E52079EBB4CA402AAF242F8662E63D5A	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Voltage regulator 3.3V	MP3609	Component	400mA Low-Dropout Voltage Regulator
E763CACCEF1C4C45B206DEE84DAB80B8	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Cable Hardware	MP2944	Assembly	
E81E0C71B08C46969C9BB63D61260297	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x5 Socket Cap Bolt	MP0370-001	Component	
E84C3527841D489B9E288DAE57C97CFA	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Z Axis Acme Nut Tr8x8(P2)	MP2383	Component	
E8B1817E1F2B48A4AA41C4ADA989B70E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	M3x18 Flat Head Socket Bolt	MP1913-002	Component	
EAE86DDE8FF4475CAB9AF229558B7EF4	1	D	DBA5D86402BF43D5976854B8B48FCDD1	293 Tooth GT2 Timing Belt	MP2403	Component	
ECADE8078F1746EB8F6143561F7D4385	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Cable Clamp Blind Hole Mount	MP2684	Component	
EE1F23A7DD2A429EAC6ED5E231FC433A	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Thing-O-Matic 2 Y Carriage Secondary	MP2415	Component	
EE5EDA69A81A4839B1CE47116F3287DB	1	C	DBA5D86402BF43D5976854B8B48FCDD1	ABS Black 1kg Spool 1.75mm	MP1531	Component	
EE7B37C50A5F48A584E185F9F07E6968	5	B	DBA5D86402BF43D5976854B8B48FCDD1	Replicator Interfaceboard - bare board	MP3508	Component	
EF0E57C082B3497B9CF25EDD9DA24B7E	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Resistor 7.5K	MP3085	Component	Thick film chip resistor
F02A4E56CC1C4A9989FEAE8DFDE3968A	1	A	DBA5D86402BF43D5976854B8B48FCDD1	LCD Controller	MP3506	Component	Quadruple Bus Buffer Gate with 3-State Outputs
F0BFAAD14FFB4DB48631D2499ED6A55C	1	A	DBA5D86402BF43D5976854B8B48FCDD1	LCD Panel	MP3989	Component	Display 2004A-GDS065W
F1E4DC882E0D4848B69D4B9F55EC4DBA	6	B	DBA5D86402BF43D5976854B8B48FCDD1	Test Electronics Side	MP2965	Component	
F31D3F16D03C4674A12BF5E34F74FE19	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Header 8x1	MP3856	Component	.100  breakaway  header
F3B40B54AB764C70A8DAF0CBD8749356	1	A	DBA5D86402BF43D5976854B8B48FCDD1	Capacitor .1uF	MP3455	Component	.1  uF, X7R, 10%, 50V
